level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1080	1920	-1	
2	1	1	0	0	0	90	520	572	95	-1	
3	1	1	1	0	0	90	520	572	95	-1	
4	1	1	1	1	0	90	520	572	95	-1	
5	1	1	1	1	1	90	521	379	94	94.841393	WHAT
5	1	1	1	1	2	489	520	173	94	95.677139	DO
2	1	2	0	0	0	93	636	360	96	-1	
3	1	2	1	0	0	93	636	360	96	-1	
4	1	2	1	1	0	93	636	360	96	-1	
5	1	2	1	1	1	93	636	360	96	86.272011	ISAY?
2	1	3	0	0	0	275	1582	528	66	-1	
3	1	3	1	0	0	275	1582	528	66	-1	
4	1	3	1	1	0	275	1582	528	66	-1	
5	1	3	1	1	1	275	1578	109	75	8.553070	What
5	1	3	1	1	2	402	1578	177	75	7.493164	file)!
5	1	3	1	1	3	593	1600	114	33	96.670326	show
5	1	3	1	1	4	718	1600	85	33	96.941002	And
