level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1080	1920	-1	
2	1	1	0	0	0	121	273	297	50	-1	
3	1	1	1	0	0	121	273	297	50	-1	
4	1	1	1	1	0	121	273	297	50	-1	
5	1	1	1	1	1	121	273	129	50	95.676559	THE
5	1	1	1	1	2	261	273	157	50	96.836067	FEED
2	1	2	0	0	0	123	340	413	51	-1	
3	1	2	1	0	0	123	340	413	51	-1	
4	1	2	1	1	0	123	340	413	51	-1	
5	1	2	1	1	1	123	340	413	51	90.749512	FLATTENSIT.
2	1	3	0	0	0	169	618	648	331	-1	
3	1	3	1	0	0	169	618	648	331	-1	
4	1	3	1	1	0	169	618	648	331	-1	
5	1	3	1	1	1	169	618	648	331	0.000000	Cdr
2	1	4	0	0	0	170	954	703	430	-1	
3	1	4	1	0	0	170	954	703	430	-1	
4	1	4	1	1	0	170	954	703	430	-1	
5	1	4	1	1	1	170	954	703	430	3.228271	gy
2	1	5	0	0	0	197	1597	687	36	-1	
3	1	5	1	0	0	197	1597	687	36	-1	
4	1	5	1	1	0	197	1597	687	36	-1	
5	1	5	1	1	1	197	1598	76	34	92.226875	link
5	1	5	1	1	2	284	1597	403	36	0.000000	inExeynt=e)at-wafeed
5	1	5	1	1	3	701	1600	183	33	95.916107	Because
