level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1080	1920	-1	
2	1	1	0	0	0	852	1682	4	11	-1	
3	1	1	1	0	0	852	1682	4	11	-1	
4	1	1	1	1	0	852	1682	4	11	-1	
5	1	1	1	1	1	852	1682	4	11	89.094177	4
2	1	2	0	0	0	259	1532	562	184	-1	
3	1	2	1	0	0	259	1532	562	184	-1	
4	1	2	1	1	0	259	1532	562	184	-1	
5	1	2	1	1	1	259	1598	103	44	52.741604	von
5	1	2	1	1	2	408	1532	154	184	48.212986	TSI
5	1	2	1	1	3	578	1600	50	33	96.723457	be
5	1	2	1	1	4	642	1598	129	44	95.263794	hiding
5	1	2	1	1	5	786	1598	35	34	95.796082	in
2	1	3	0	0	0	842	1696	18	60	-1	
3	1	3	1	0	0	842	1696	18	60	-1	
4	1	3	1	1	0	842	1696	18	60	-1	
5	1	3	1	1	1	842	1696	18	60	0.000000	;
