level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1080	1920	-1	
2	1	1	0	0	0	92	190	443	28	-1	
3	1	1	1	0	0	92	190	443	28	-1	
4	1	1	1	1	0	92	190	443	28	-1	
5	1	1	1	1	1	92	190	69	22	96.935806	ONE
5	1	1	1	1	2	180	190	101	28	96.043213	PATH,
5	1	1	1	1	3	301	190	92	22	95.076866	FOUR
5	1	1	1	1	4	411	190	124	22	96.417709	MOVES
2	1	2	0	0	0	88	248	522	54	-1	
3	1	2	1	0	0	88	248	522	54	-1	
4	1	2	1	1	0	88	248	522	54	-1	
5	1	2	1	1	1	88	248	290	54	96.264694	SHIPPED
5	1	2	1	1	2	389	248	221	54	96.384430	WORK
2	1	3	0	0	0	89	319	686	54	-1	
3	1	3	1	0	0	89	319	686	54	-1	
4	1	3	1	1	0	89	319	686	54	-1	
5	1	3	1	1	1	89	319	339	54	96.455101	BECOMES
5	1	3	1	1	2	439	319	137	53	95.804741	THE
5	1	3	1	1	3	589	319	186	54	96.788116	POST
2	1	4	0	0	0	82	572	32	22	-1	
3	1	4	1	0	0	82	572	32	22	-1	
4	1	4	1	1	0	82	572	32	22	-1	
5	1	4	1	1	1	82	572	32	22	76.872093	01
2	1	5	0	0	0	179	614	73	113	-1	
3	1	5	1	0	0	179	614	73	113	-1	
4	1	5	1	1	0	179	614	73	113	-1	
5	1	5	1	1	1	179	614	73	113	39.685280	i
2	1	6	0	0	0	81	768	257	22	-1	
3	1	6	1	0	0	81	768	257	22	-1	
4	1	6	1	1	0	81	768	257	22	-1	
5	1	6	1	1	1	81	768	143	22	96.029305	SHIPPED
5	1	6	1	1	2	235	768	103	22	96.020050	WORK
2	1	7	0	0	0	326	1598	325	44	-1	
3	1	7	1	0	0	326	1582	433	66	-1	
4	1	7	1	1	0	326	1598	325	44	-1	
5	1	7	1	1	1	326	1598	88	44	96.653778	give
5	1	7	1	1	2	428	1598	26	35	95.758461	it
5	1	7	1	1	3	464	1600	68	33	96.324089	the
5	1	7	1	1	4	544	1600	107	33	96.777641	work
