level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1080	1920	-1	
2	1	1	0	0	0	91	190	444	28	-1	
3	1	1	1	0	0	91	190	444	28	-1	
4	1	1	1	1	0	91	190	444	28	-1	
5	1	1	1	1	1	91	190	66	22	96.440071	ONE
5	1	1	1	1	2	180	190	101	28	96.440071	PATH,
5	1	1	1	1	3	308	190	85	22	96.012451	FOUR
5	1	1	1	1	4	411	190	124	22	96.012451	MOVES
2	1	2	0	0	0	88	248	522	54	-1	
3	1	2	1	0	0	88	248	522	54	-1	
4	1	2	1	1	0	88	248	522	54	-1	
5	1	2	1	1	1	88	248	290	54	96.264694	SHIPPED
5	1	2	1	1	2	389	248	221	54	96.384430	WORK
2	1	3	0	0	0	89	319	703	54	-1	
3	1	3	1	0	0	89	319	703	54	-1	
4	1	3	1	1	0	89	319	703	54	-1	
5	1	3	1	1	1	89	319	339	54	96.293938	BECOMES
5	1	3	1	1	2	439	319	137	53	89.413750	THE
5	1	3	1	1	3	589	319	203	54	89.413750	POST.
2	1	4	0	0	0	788	420	40	21	-1	
3	1	4	1	0	0	788	420	40	21	-1	
4	1	4	1	1	0	788	420	40	21	-1	
5	1	4	1	1	1	788	420	40	21	96.111824	04
2	1	5	0	0	0	847	795	88	22	-1	
3	1	5	1	0	0	847	795	88	22	-1	
4	1	5	1	1	0	847	795	88	22	-1	
5	1	5	1	1	1	847	795	88	22	96.374809	POST
2	1	6	0	0	0	155	841	782	24	-1	
3	1	6	1	0	0	155	841	782	24	-1	
4	1	6	1	1	0	155	841	782	24	-1	
5	1	6	1	1	1	155	841	719	24	4.067497	—_—_——o——_o———_-
5	1	6	1	1	2	913	841	24	24	39.435543	©
2	1	7	0	0	0	294	1578	493	74	-1	
3	1	7	1	0	0	294	1578	493	74	-1	
4	1	7	1	1	0	294	1578	493	74	-1	
5	1	7	1	1	1	294	1598	78	35	96.455635	into
5	1	7	1	1	2	385	1578	163	74	33.905418	afi)
5	1	7	1	1	3	566	1598	91	35	90.441849	form
5	1	7	1	1	4	669	1598	118	35	96.831543	video
