level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1080	1920	-1	
2	1	1	0	0	0	654	948	71	17	-1	
3	1	1	1	0	0	654	948	71	17	-1	
4	1	1	1	1	0	654	948	71	17	-1	
5	1	1	1	1	1	654	948	71	17	7.619141	-—™
2	1	2	0	0	0	402	1224	14	8	-1	
3	1	2	1	0	0	402	1224	14	8	-1	
4	1	2	1	1	0	402	1224	14	8	-1	
5	1	2	1	1	1	402	1224	14	8	12.259094	Pt
2	1	3	0	0	0	492	1304	40	20	-1	
3	1	3	1	0	0	492	1304	40	20	-1	
4	1	3	1	1	0	492	1304	40	20	-1	
5	1	3	1	1	1	492	1312	4	12	6.256088	ce
2	1	4	0	0	0	378	1458	48	32	-1	
3	1	4	1	0	0	378	1458	48	32	-1	
4	1	4	1	1	0	378	1458	48	32	-1	
5	1	4	1	1	1	378	1458	48	32	31.185623	3
2	1	5	0	0	0	382	1406	24	55	-1	
3	1	5	1	0	0	382	1406	24	55	-1	
4	1	5	1	1	0	382	1406	24	55	-1	
5	1	5	1	1	1	382	1406	24	55	77.553215	q
2	1	6	0	0	0	200	1499	58	3	-1	
3	1	6	1	0	0	200	1499	58	3	-1	
4	1	6	1	1	0	200	1499	58	3	-1	
5	1	6	1	1	1	200	1499	58	3	40.825676	——
2	1	7	0	0	0	235	1578	619	74	-1	
3	1	7	1	0	0	235	1578	619	74	-1	
4	1	7	1	1	0	235	1578	619	74	-1	
5	1	7	1	1	1	235	1602	68	31	96.301254	not
5	1	7	1	1	2	313	1600	69	33	96.906921	the
5	1	7	1	1	3	393	1602	102	31	96.746941	trust
5	1	7	1	1	4	506	1598	126	44	0.000000	Er]
5	1	7	1	1	5	662	1578	192	74	64.341515	anymore,
