level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1080	1920	-1	
2	1	1	0	0	0	717	1582	115	66	-1	
3	1	1	1	0	0	717	1582	115	66	-1	
4	1	1	1	1	0	717	1582	115	66	-1	
5	1	1	1	1	1	717	1582	115	66	93.345886	post
2	1	2	0	0	0	252	1598	458	93	-1	
3	1	2	1	0	0	252	1598	458	93	-1	
4	1	2	1	1	0	252	1598	458	93	-1	
5	1	2	1	1	1	252	1598	136	93	5.346870	vata
5	1	2	1	1	2	401	1607	95	34	96.282539	repo
5	1	2	1	1	3	507	1607	98	35	96.282539	your
5	1	2	1	1	4	617	1602	93	31	96.354385	next
2	1	3	0	0	0	820	1677	39	85	-1	
3	1	3	1	0	0	820	1677	39	85	-1	
4	1	3	1	1	0	820	1677	39	85	-1	
5	1	3	1	1	1	820	1677	39	85	32.787247	)
