level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1080	1920	-1	
2	1	1	0	0	0	602	960	79	16	-1	
3	1	1	1	0	0	602	960	79	16	-1	
4	1	1	1	1	0	602	960	79	16	-1	
5	1	1	1	1	1	602	960	79	16	5.382339	wv,
2	1	2	0	0	0	758	1134	142	18	-1	
3	1	2	1	0	0	758	1134	142	18	-1	
4	1	2	1	1	0	758	1134	142	18	-1	
5	1	2	1	1	1	758	1134	142	18	24.554924	al
2	1	3	0	0	0	968	1144	110	60	-1	
3	1	3	1	0	0	968	1144	110	60	-1	
4	1	3	1	1	0	968	1144	110	60	-1	
5	1	3	1	1	1	968	1144	110	60	12.403030	—
2	1	4	0	0	0	715	1217	117	119	-1	
3	1	4	1	0	0	715	1217	117	119	-1	
4	1	4	1	1	0	715	1217	117	119	-1	
5	1	4	1	1	1	715	1217	117	119	35.879135	a”
2	1	5	0	0	0	336	1472	32	32	-1	
3	1	5	1	0	0	336	1472	32	32	-1	
4	1	5	1	1	0	336	1472	32	32	-1	
5	1	5	1	1	1	336	1472	32	32	49.772396	iat
2	1	6	0	0	0	340	1504	17	22	-1	
3	1	6	1	0	0	340	1504	17	22	-1	
4	1	6	1	1	0	340	1504	17	22	-1	
5	1	6	1	1	1	340	1504	17	22	31.350861	pi
2	1	7	0	0	0	261	1573	558	68	-1	
3	1	7	1	0	0	261	1573	558	68	-1	
4	1	7	1	1	0	261	1573	558	68	-1	
5	1	7	1	1	1	261	1573	95	60	97.000847	read
5	1	7	1	1	2	370	1600	136	33	95.412407	record
5	1	7	1	1	3	519	1600	78	33	95.412407	and
5	1	7	1	1	4	610	1607	102	26	96.800880	even
5	1	7	1	1	5	725	1602	94	39	96.871216	post
