level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1080	1920	-1	
2	1	1	0	0	0	627	972	67	15	-1	
3	1	1	1	0	0	627	972	67	15	-1	
4	1	1	1	1	0	627	972	67	15	-1	
5	1	1	1	1	1	627	972	67	15	0.509567	~—-:
2	1	2	0	0	0	953	1145	110	59	-1	
3	1	2	1	0	0	953	1145	110	59	-1	
4	1	2	1	1	0	953	1145	110	59	-1	
5	1	2	1	1	1	953	1145	110	59	32.991074	—_
2	1	3	0	0	0	554	1004	353	252	-1	
3	1	3	1	0	0	554	1004	353	252	-1	
4	1	3	1	1	0	554	1004	353	252	-1	
5	1	3	1	1	1	554	1004	353	252	34.378517	es
2	1	4	0	0	0	490	1292	70	68	-1	
3	1	4	1	0	0	490	1292	70	68	-1	
4	1	4	1	1	0	490	1292	70	68	-1	
5	1	4	1	1	1	490	1292	70	68	26.017387	rs
2	1	5	0	0	0	156	1522	764	130	-1	
3	1	5	1	0	0	156	1522	769	130	-1	
4	1	5	1	1	0	156	1522	764	130	-1	
5	1	5	1	1	1	156	1598	72	35	9.563332	like
5	1	5	1	1	2	239	1607	23	26	9.563332	a
5	1	5	1	1	3	274	1526	159	116	0.000000	fi
5	1	5	1	1	4	454	1522	250	130	0.000000	navenicon
5	1	5	1	1	5	714	1522	55	130	4.290092	en
5	1	5	1	1	6	822	1600	98	33	12.531906	RE:
