level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1080	1920	-1	
2	1	1	0	0	0	0	0	1080	612	-1	
3	1	1	1	0	0	0	0	1080	612	-1	
4	1	1	1	1	0	0	0	1080	612	-1	
5	1	1	1	1	1	0	0	1080	612	54.122429	Be
2	1	2	0	0	0	648	987	423	160	-1	
3	1	2	1	0	0	648	987	432	160	-1	
4	1	2	1	1	0	648	987	423	160	-1	
5	1	2	1	1	1	648	987	423	160	43.385773	‘rn
2	1	3	0	0	0	997	1144	82	58	-1	
3	1	3	1	0	0	997	1144	82	58	-1	
4	1	3	1	1	0	997	1144	82	58	-1	
5	1	3	1	1	1	997	1144	82	58	70.787704	=
2	1	4	0	0	0	214	1587	654	60	-1	
3	1	4	1	0	0	214	1587	654	60	-1	
4	1	4	1	1	0	214	1587	654	60	-1	
5	1	4	1	1	1	214	1600	144	41	93.271988	people
5	1	4	1	1	2	370	1587	231	60	0.000000	aren't{[t™4j
5	1	4	1	1	3	610	1598	139	44	36.661873	asking
5	1	4	1	1	4	762	1600	106	33	97.001366	what
