level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1080	1920	-1	
2	1	1	0	0	0	542	961	70	15	-1	
3	1	1	1	0	0	542	961	70	15	-1	
4	1	1	1	1	0	542	961	70	15	-1	
5	1	1	1	1	1	542	961	70	15	13.243637	“~*~
2	1	2	0	0	0	552	1046	62	157	-1	
3	1	2	1	0	0	552	1046	62	157	-1	
4	1	2	1	1	0	552	1046	62	157	-1	
5	1	2	1	1	1	552	1046	62	157	31.642906	4
2	1	3	0	0	0	938	1145	142	58	-1	
3	1	3	1	0	0	938	1145	142	58	-1	
4	1	3	1	1	0	938	1145	142	58	-1	
5	1	3	1	1	1	938	1145	142	58	11.271202	_—
2	1	4	0	0	0	220	1598	639	44	-1	
3	1	4	1	0	0	220	1598	639	44	-1	
4	1	4	1	1	0	220	1598	639	44	-1	
5	1	4	1	1	1	220	1598	212	44	96.030388	genuinely
5	1	4	1	1	2	444	1598	131	35	95.902863	useful
5	1	4	1	1	3	589	1600	142	33	96.205154	launch
5	1	4	1	1	4	744	1598	26	35	96.205154	it
5	1	4	1	1	5	781	1600	78	33	96.822792	and
