level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1080	1920	-1	
2	1	1	0	0	0	702	956	59	15	-1	
3	1	1	1	0	0	702	956	59	15	-1	
4	1	1	1	1	0	702	956	59	15	-1	
5	1	1	1	1	1	702	956	59	15	78.045540	—_
2	1	2	0	0	0	592	1340	216	65	-1	
3	1	2	1	0	0	592	1340	216	65	-1	
4	1	2	1	1	0	592	1340	216	65	-1	
5	1	2	1	1	1	592	1340	216	65	48.209915	—
2	1	3	0	0	0	243	1578	586	100	-1	
3	1	3	1	0	0	243	1578	586	100	-1	
4	1	3	1	1	0	243	1578	586	100	-1	
5	1	3	1	1	1	243	1578	105	74	56.591026	real
5	1	3	1	1	2	357	1600	69	78	66.257507	put
5	1	3	1	1	3	437	1607	97	35	96.500343	your
5	1	3	1	1	4	545	1598	196	35	96.625313	audience
5	1	3	1	1	5	755	1600	74	33	96.865555	has
2	1	4	0	0	0	399	1760	41	56	-1	
3	1	4	1	0	0	399	1760	41	56	-1	
4	1	4	1	1	0	399	1760	41	56	-1	
5	1	4	1	1	1	399	1760	33	56	7.508926	N
5	1	4	1	1	2	438	1778	2	14	36.171688	;
2	1	5	0	0	0	476	1838	13	44	-1	
3	1	5	1	0	0	476	1838	13	44	-1	
4	1	5	1	1	0	476	1838	13	44	-1	
5	1	5	1	1	1	476	1838	13	44	9.746559	\
