level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1080	1920	-1	
2	1	1	0	0	0	0	0	1080	612	-1	
3	1	1	1	0	0	0	0	1080	704	-1	
4	1	1	1	1	0	0	0	1080	612	-1	
5	1	1	1	1	1	0	0	1080	612	31.458061	=
2	1	2	0	0	0	1061	776	19	135	-1	
3	1	2	1	0	0	1061	776	19	135	-1	
4	1	2	1	1	0	1061	776	19	135	-1	
5	1	2	1	1	1	1061	776	19	135	41.496902	|
2	1	3	0	0	0	637	964	63	15	-1	
3	1	3	1	0	0	637	964	63	15	-1	
4	1	3	1	1	0	637	964	63	15	-1	
5	1	3	1	1	1	637	964	63	15	0.000000	,
2	1	4	0	0	0	1048	978	32	79	-1	
3	1	4	1	0	0	1048	978	32	79	-1	
4	1	4	1	1	0	1048	978	32	79	-1	
5	1	4	1	1	1	1048	978	32	79	11.289627	;
