level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1080	1920	-1	
2	1	1	0	0	0	0	0	1080	612	-1	
3	1	1	1	0	0	0	0	1080	612	-1	
4	1	1	1	1	0	0	0	1080	612	-1	
5	1	1	1	1	1	0	0	1080	612	57.004799	“~~
2	1	2	0	0	0	566	782	55	29	-1	
3	1	2	1	0	0	566	782	55	29	-1	
4	1	2	1	1	0	566	782	55	29	-1	
5	1	2	1	1	1	566	782	55	29	88.887756	~
2	1	3	0	0	0	636	958	66	14	-1	
3	1	3	1	0	0	636	958	66	14	-1	
4	1	3	1	1	0	636	958	66	14	-1	
5	1	3	1	1	1	636	963	15	9	62.174591	-
5	1	3	1	1	2	679	954	26	25	30.027016	~*~
2	1	4	0	0	0	641	1049	438	152	-1	
3	1	4	1	0	0	641	1049	438	152	-1	
4	1	4	1	1	0	641	1049	438	152	-1	
5	1	4	1	1	1	641	1049	438	152	2.407547	As
2	1	5	0	0	0	217	1587	489	60	-1	
3	1	5	1	0	0	217	1587	489	60	-1	
4	1	5	1	1	0	217	1587	489	60	-1	
5	1	5	1	1	1	217	1607	120	26	96.964020	never
5	1	5	1	1	2	348	1607	102	26	96.481415	seen
5	1	5	1	1	3	462	1600	69	33	92.668106	the
5	1	5	1	1	4	544	1587	162	60	92.596336	person|
2	1	6	0	0	0	708	1596	18	13	-1	
3	1	6	1	0	0	708	1596	18	13	-1	
4	1	6	1	1	0	708	1596	18	13	-1	
5	1	6	1	1	1	708	1596	18	13	51.761177	kL
2	1	7	0	0	0	715	1615	5	15	-1	
3	1	7	1	0	0	715	1615	5	15	-1	
4	1	7	1	1	0	715	1615	5	15	-1	
5	1	7	1	1	1	715	1615	5	15	33.954727	¢
2	1	8	0	0	0	717	1611	11	21	-1	
3	1	8	1	0	0	717	1611	11	21	-1	
4	1	8	1	1	0	717	1611	11	21	-1	
5	1	8	1	1	1	717	1611	11	21	74.697662	J
2	1	9	0	0	0	722	1606	21	22	-1	
3	1	9	1	0	0	722	1606	21	22	-1	
4	1	9	1	1	0	722	1606	21	22	-1	
5	1	9	1	1	1	722	1606	21	22	48.309616	>¢
