level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1080	1920	-1	
2	1	1	0	0	0	782	1108	122	32	-1	
3	1	1	1	0	0	782	1108	122	32	-1	
4	1	1	1	1	0	782	1108	122	32	-1	
5	1	1	1	1	1	782	1108	122	32	9.876221	=
2	1	2	0	0	0	0	1452	276	121	-1	
3	1	2	1	0	0	0	1452	276	121	-1	
4	1	2	1	1	0	0	1452	276	121	-1	
5	1	2	1	1	1	0	1452	276	121	19.871941	——
2	1	3	0	0	0	341	1518	365	134	-1	
3	1	3	1	0	0	341	1518	365	134	-1	
4	1	3	1	1	0	341	1518	365	134	-1	
5	1	3	1	1	1	341	1518	14	34	45.159641	'
5	1	3	1	1	2	376	1598	26	35	94.039948	it
5	1	3	1	1	3	427	1578	87	74	41.007645	Ei)
5	1	3	1	1	4	526	1600	44	33	91.838486	do
5	1	3	1	1	5	584	1600	8	32	47.412346	I
5	1	3	1	1	6	604	1602	102	31	47.412346	trust
