level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1080	1920	-1	
2	1	1	0	0	0	91	465	379	93	-1	
3	1	1	1	0	0	91	465	379	93	-1	
4	1	1	1	1	0	91	465	379	93	-1	
5	1	1	1	1	1	91	465	379	93	96.602150	WHAT
2	1	2	0	0	0	91	580	534	95	-1	
3	1	2	1	0	0	91	580	534	95	-1	
4	1	2	1	1	0	91	580	534	95	-1	
5	1	2	1	1	1	91	580	487	95	85.087173	SHOULD
5	1	2	1	1	2	599	582	26	92	79.369057	I
2	1	3	0	0	0	91	696	445	95	-1	
3	1	3	1	0	0	91	696	445	95	-1	
4	1	3	1	1	0	91	696	445	95	-1	
5	1	3	1	1	1	91	696	445	95	89.692795	SHOW?
2	1	4	0	0	0	277	1582	526	66	-1	
3	1	4	1	0	0	277	1582	526	66	-1	
4	1	4	1	1	0	277	1582	526	66	-1	
5	1	4	1	1	1	277	1600	89	33	96.799469	how
5	1	4	1	1	2	377	1600	53	33	96.260376	do
5	1	4	1	1	3	440	1582	28	66	95.229797	0
5	1	4	1	1	4	478	1598	114	35	96.794411	avoid
5	1	4	1	1	5	605	1598	198	44	96.115540	sounding
