level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1080	1920	-1	
2	1	1	0	0	0	0	0	1080	613	-1	
3	1	1	1	0	0	0	0	1080	613	-1	
4	1	1	1	1	0	0	0	1080	613	-1	
5	1	1	1	1	1	0	0	1080	613	20.112907	ie
2	1	2	0	0	0	648	1029	255	155	-1	
3	1	2	1	0	0	648	1029	255	155	-1	
4	1	2	1	1	0	648	1029	255	155	-1	
5	1	2	1	1	1	648	1029	255	155	21.844475	De
2	1	3	0	0	0	978	1145	102	58	-1	
3	1	3	1	0	0	978	1145	102	58	-1	
4	1	3	1	1	0	978	1145	102	58	-1	
5	1	3	1	1	1	978	1145	102	58	15.399559	_—
2	1	4	0	0	0	254	1585	571	62	-1	
3	1	4	1	0	0	254	1585	571	62	-1	
4	1	4	1	1	0	254	1585	571	62	-1	
5	1	4	1	1	1	254	1600	95	42	96.817032	they
5	1	4	1	1	2	357	1585	87	62	0.000000	lare|
5	1	4	1	1	3	453	1598	140	44	96.741913	asking
5	1	4	1	1	4	605	1600	90	33	96.495811	who
5	1	4	1	1	5	708	1600	117	33	96.956734	made
