level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1080	1920	-1	
2	1	1	0	0	0	0	0	1080	613	-1	
3	1	1	1	0	0	0	0	1080	613	-1	
4	1	1	1	1	0	0	0	1080	613	-1	
5	1	1	1	1	1	0	0	431	613	0.000000	'
2	1	2	0	0	0	1071	775	9	129	-1	
3	1	2	1	0	0	1071	775	9	129	-1	
4	1	2	1	1	0	1071	775	9	129	-1	
5	1	2	1	1	1	1071	775	9	129	8.546692	:
2	1	3	0	0	0	683	932	23	12	-1	
3	1	3	1	0	0	683	932	23	12	-1	
4	1	3	1	1	0	683	932	23	12	-1	
5	1	3	1	1	1	683	932	23	12	31.777542	-
2	1	4	0	0	0	1028	926	52	137	-1	
3	1	4	1	0	0	1028	926	52	137	-1	
4	1	4	1	1	0	1028	926	52	137	-1	
5	1	4	1	1	1	1028	926	52	137	19.515121	;
2	1	5	0	0	0	776	1598	134	44	-1	
3	1	5	1	0	0	776	1145	304	497	-1	
4	1	5	1	1	0	776	1598	134	44	-1	
5	1	5	1	1	1	776	1598	134	44	93.022217	ething
2	1	6	0	0	0	737	1248	343	672	-1	
3	1	6	1	0	0	737	1248	343	672	-1	
4	1	6	1	1	0	737	1248	343	672	-1	
5	1	6	1	1	1	737	1248	343	672	87.351135	4
