level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1080	1920	-1	
2	1	1	0	0	0	938	1163	72	61	-1	
3	1	1	1	0	0	938	1163	72	61	-1	
4	1	1	1	1	0	938	1163	72	61	-1	
5	1	1	1	1	1	938	1163	72	61	89.682922	=
2	1	2	0	0	0	334	1504	18	32	-1	
3	1	2	1	0	0	334	1504	18	32	-1	
4	1	2	1	1	0	334	1504	18	32	-1	
5	1	2	1	1	1	334	1504	18	32	40.733589	7
2	1	3	0	0	0	256	1600	570	41	-1	
3	1	3	1	0	0	256	1600	570	41	-1	
4	1	3	1	1	0	256	1600	570	41	-1	
5	1	3	1	1	1	256	1600	93	33	96.534142	read
5	1	3	1	1	2	363	1600	136	33	96.206329	record
5	1	3	1	1	3	512	1600	78	33	0.000000	and
5	1	3	1	1	4	608	1605	106	26	0.000000	[aij
5	1	3	1	1	5	733	1602	93	39	96.112076	post
