level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1080	1920	-1	
2	1	1	0	0	0	91	465	379	93	-1	
3	1	1	1	0	0	91	465	379	93	-1	
4	1	1	1	1	0	91	465	379	93	-1	
5	1	1	1	1	1	91	465	379	93	96.639412	WHAT
2	1	2	0	0	0	91	580	534	95	-1	
3	1	2	1	0	0	91	580	534	95	-1	
4	1	2	1	1	0	91	580	534	95	-1	
5	1	2	1	1	1	91	580	487	95	81.987823	SHOULD
5	1	2	1	1	2	599	582	26	92	79.223633	I
2	1	3	0	0	0	91	696	445	95	-1	
3	1	3	1	0	0	91	696	445	95	-1	
4	1	3	1	1	0	91	696	445	95	-1	
5	1	3	1	1	1	91	696	445	95	89.214638	SHOW?
2	1	4	0	0	0	275	1582	534	66	-1	
3	1	4	1	0	0	275	1582	534	66	-1	
4	1	4	1	1	0	275	1582	534	66	-1	
5	1	4	1	1	1	275	1600	114	33	96.889893	What
5	1	4	1	1	2	401	1600	142	33	96.870537	should
5	1	4	1	1	3	558	1600	7	32	80.730377	I
5	1	4	1	1	4	597	1600	96	33	83.971458	show
5	1	4	1	1	5	715	1578	99	74	48.167782	Lt)
