level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1080	1920	-1	
2	1	1	0	0	0	0	0	1080	613	-1	
3	1	1	1	0	0	0	0	1080	613	-1	
4	1	1	1	1	0	0	0	1080	613	-1	
5	1	1	1	1	1	0	0	1080	613	10.741531	,*
2	1	2	0	0	0	625	777	31	15	-1	
3	1	2	1	0	0	625	777	31	15	-1	
4	1	2	1	1	0	625	777	31	15	-1	
5	1	2	1	1	1	625	777	31	15	54.506828	ye
2	1	3	0	0	0	527	816	39	30	-1	
3	1	3	1	0	0	527	816	39	30	-1	
4	1	3	1	1	0	527	816	39	30	-1	
5	1	3	1	1	1	527	816	39	30	74.939163	~
2	1	4	0	0	0	617	802	138	53	-1	
3	1	4	1	0	0	617	802	138	53	-1	
4	1	4	1	1	0	617	802	138	53	-1	
5	1	4	1	1	1	617	802	138	53	21.092766	=,
2	1	5	0	0	0	584	985	82	15	-1	
3	1	5	1	0	0	584	985	82	15	-1	
4	1	5	1	1	0	584	985	82	15	-1	
5	1	5	1	1	1	584	985	82	15	0.000000	-~7WOTv~
2	1	6	0	0	0	994	1145	86	57	-1	
3	1	6	1	0	0	994	1145	86	57	-1	
4	1	6	1	1	0	994	1145	86	57	-1	
5	1	6	1	1	1	994	1145	86	57	63.888203	-
2	1	7	0	0	0	583	1077	65	146	-1	
3	1	7	1	0	0	583	1077	65	146	-1	
4	1	7	1	1	0	583	1077	65	146	-1	
5	1	7	1	1	1	583	1077	65	146	54.132530	i
2	1	8	0	0	0	204	1598	673	35	-1	
3	1	8	1	0	0	204	1598	673	35	-1	
4	1	8	1	1	0	204	1598	673	35	-1	
5	1	8	1	1	1	204	1598	76	34	96.111137	link
5	1	8	1	1	2	291	1598	35	34	96.206909	in
5	1	8	1	1	3	340	1600	234	33	96.266174	someone's
5	1	8	1	1	4	585	1598	95	35	96.106270	feed
5	1	8	1	1	5	695	1600	182	33	96.106270	Because
