level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1080	1920	-1	
2	1	1	0	0	0	93	350	499	88	-1	
3	1	1	1	0	0	93	350	499	88	-1	
4	1	1	1	1	0	93	350	499	88	-1	
5	1	1	1	1	1	93	350	278	88	94.613937	HOW
5	1	1	1	1	2	389	350	203	87	67.699303	DO!
2	1	2	0	0	0	93	459	646	88	-1	
3	1	2	1	0	0	93	459	646	88	-1	
4	1	2	1	1	0	93	459	646	88	-1	
5	1	2	1	1	1	93	459	235	88	94.349747	NOT
5	1	2	1	1	2	345	459	394	87	94.349747	SOUND
2	1	3	0	0	0	93	568	662	87	-1	
3	1	3	1	0	0	93	568	662	87	-1	
4	1	3	1	1	0	93	568	662	87	-1	
5	1	3	1	1	1	93	570	231	85	96.212708	LIKE
5	1	3	1	1	2	342	569	168	85	96.335358	AN
5	1	3	1	1	3	529	568	226	87	96.497940	AD?
2	1	4	0	0	0	156	1578	769	74	-1	
3	1	4	1	0	0	156	1578	769	74	-1	
4	1	4	1	1	0	156	1578	769	74	-1	
5	1	4	1	1	1	156	1598	71	35	96.926544	like
5	1	4	1	1	2	240	1578	225	74	0.000000	af{Zie)
5	1	4	1	1	3	476	1578	302	74	96.585098	advertisement
5	1	4	1	1	4	790	1600	135	33	96.504875	That's
