level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1080	1920	-1	
2	1	1	0	0	0	0	0	1080	613	-1	
3	1	1	1	0	0	0	0	1080	613	-1	
4	1	1	1	1	0	0	0	1080	613	-1	
5	1	1	1	1	1	0	0	1080	613	39.556953	we
2	1	2	0	0	0	674	1010	390	192	-1	
3	1	2	1	0	0	674	1010	390	192	-1	
4	1	2	1	1	0	674	1010	390	192	-1	
5	1	2	1	1	1	674	1010	390	192	74.076637	A-.
2	1	3	0	0	0	207	1587	661	60	-1	
3	1	3	1	0	0	207	1587	661	60	-1	
4	1	3	1	1	0	207	1587	661	60	-1	
5	1	3	1	1	1	207	1590	103	52	8.681137	[1-19]
5	1	3	1	1	2	316	1583	188	68	32.059181	)(-Jaren't
5	1	3	1	1	3	526	1598	73	43	96.847511	just
5	1	3	1	1	4	610	1598	139	44	96.650078	asking
5	1	3	1	1	5	762	1600	106	33	96.683838	what
