level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1080	1920	-1	
2	1	1	0	0	0	123	263	547	51	-1	
3	1	1	1	0	0	123	263	547	51	-1	
4	1	1	1	1	0	123	263	547	51	-1	
5	1	1	1	1	1	123	263	313	51	96.216911	POLISHED
5	1	1	1	1	2	445	263	225	51	96.330521	WORK.
2	1	2	0	0	0	225	688	314	50	-1	
3	1	2	1	0	0	225	688	314	50	-1	
4	1	2	1	1	0	225	688	314	50	-1	
5	1	2	1	1	1	225	688	314	50	90.462418	Ausefulidea,
2	1	3	0	0	0	227	740	386	40	-1	
3	1	3	1	0	0	227	740	386	40	-1	
4	1	3	1	1	0	227	740	386	40	-1	
5	1	3	1	1	1	227	743	190	36	10.756599	reduced
5	1	3	1	1	2	426	745	46	34	10.756599	to
5	1	3	1	1	3	481	740	132	40	86.011269	alink.
2	1	4	0	0	0	298	1578	483	74	-1	
3	1	4	1	0	0	298	1578	483	74	-1	
4	1	4	1	1	0	298	1578	483	74	-1	
5	1	4	1	1	1	298	1578	73	74	88.586594	still
5	1	4	1	1	2	398	1578	94	74	30.425629	FY
5	1	4	1	1	3	501	1598	71	35	92.576645	like
5	1	4	1	1	4	621	1600	160	33	91.734680	arandom
