level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1080	1920	-1	
2	1	1	0	0	0	675	942	67	14	-1	
3	1	1	1	0	0	675	942	67	14	-1	
4	1	1	1	1	0	675	942	67	14	-1	
5	1	1	1	1	1	675	942	67	14	0.000000	—=-
2	1	2	0	0	0	884	1194	108	56	-1	
3	1	2	1	0	0	884	1194	108	56	-1	
4	1	2	1	1	0	884	1194	108	56	-1	
5	1	2	1	1	1	884	1194	108	56	56.618382	va
2	1	3	0	0	0	496	1272	76	40	-1	
3	1	3	1	0	0	496	1272	76	40	-1	
4	1	3	1	1	0	496	1272	76	40	-1	
5	1	3	1	1	1	496	1272	76	40	0.270569	 &
2	1	4	0	0	0	64	1448	212	80	-1	
3	1	4	1	0	0	64	1448	212	80	-1	
4	1	4	1	1	0	64	1448	212	80	-1	
5	1	4	1	1	1	64	1448	212	80	76.371567	—
2	1	5	0	0	0	561	1552	7	14	-1	
3	1	5	1	0	0	561	1552	7	14	-1	
4	1	5	1	1	0	561	1552	7	14	-1	
5	1	5	1	1	1	561	1552	7	14	21.351517	z
2	1	6	0	0	0	235	1578	611	74	-1	
3	1	6	1	0	0	235	1578	611	102	-1	
4	1	6	1	1	0	235	1578	611	74	-1	
5	1	6	1	1	1	235	1602	68	31	96.751259	not
5	1	6	1	1	2	313	1600	69	33	96.889107	the
5	1	6	1	1	3	386	1578	130	74	58.937462	trust]
5	1	6	1	1	4	521	1598	125	44	95.778198	signal
5	1	6	1	1	5	659	1607	187	35	96.648224	anymore
2	1	7	0	0	0	855	1673	29	82	-1	
3	1	7	1	0	0	855	1673	29	82	-1	
4	1	7	1	1	0	855	1673	29	82	-1	
5	1	7	1	1	1	855	1673	29	82	63.273438	{
