level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1080	1920	-1	
2	1	1	0	0	0	90	520	572	95	-1	
3	1	1	1	0	0	90	520	572	95	-1	
4	1	1	1	1	0	90	520	572	95	-1	
5	1	1	1	1	1	90	521	379	94	94.287949	WHAT
5	1	1	1	1	2	489	520	173	94	94.287949	DO
2	1	2	0	0	0	93	636	360	96	-1	
3	1	2	1	0	0	93	636	360	96	-1	
4	1	2	1	1	0	93	636	360	96	-1	
5	1	2	1	1	1	93	636	360	96	86.963463	ISAY?
2	1	3	0	0	0	333	1600	415	41	-1	
3	1	3	1	0	0	333	1600	415	41	-1	
4	1	3	1	1	0	333	1600	415	41	-1	
5	1	3	1	1	1	333	1600	118	33	96.862671	stuck
5	1	3	1	1	2	462	1600	113	33	96.609024	What
5	1	3	1	1	3	587	1600	52	33	81.525581	do
5	1	3	1	1	4	653	1600	7	32	81.525581	I
5	1	3	1	1	5	674	1607	74	34	96.604340	say
