level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1080	1920	-1	
2	1	1	0	0	0	804	1092	149	84	-1	
3	1	1	1	0	0	804	1092	149	84	-1	
4	1	1	1	1	0	804	1092	149	84	-1	
5	1	1	1	1	1	804	1092	149	84	49.425220	-
2	1	2	0	0	0	174	1225	160	129	-1	
3	1	2	1	0	0	174	1225	160	129	-1	
4	1	2	1	1	0	174	1225	160	129	-1	
5	1	2	1	1	1	174	1225	160	129	0.000000	*
2	1	3	0	0	0	305	1578	460	74	-1	
3	1	3	1	0	0	305	1578	460	74	-1	
4	1	3	1	1	0	305	1578	460	74	-1	
5	1	3	1	1	1	305	1578	136	74	53.347683	|what|
5	1	3	1	1	2	445	1598	114	43	96.518166	proof
5	1	3	1	1	3	571	1598	34	35	95.653854	is
5	1	3	1	1	4	616	1598	61	35	95.809311	for
5	1	3	1	1	5	688	1607	77	35	96.688171	you
