level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1080	1920	-1	
2	1	1	0	0	0	89	673	71	66	-1	
3	1	1	1	0	0	89	673	71	66	-1	
4	1	1	1	1	0	89	673	71	66	-1	
5	1	1	1	1	1	89	673	71	66	16.436676	K
2	1	2	0	0	0	456	1092	462	21	-1	
3	1	2	1	0	0	456	1092	462	21	-1	
4	1	2	1	1	0	456	1092	462	21	-1	
5	1	2	1	1	1	456	1093	30	7	0.000000	—
5	1	2	1	1	2	801	1092	117	21	27.580276	_——
2	1	3	0	0	0	761	1169	123	127	-1	
3	1	3	1	0	0	761	1169	123	127	-1	
4	1	3	1	1	0	761	1169	123	127	-1	
5	1	3	1	1	1	761	1169	123	127	0.000000	-"
2	1	4	0	0	0	0	1447	276	126	-1	
3	1	4	1	0	0	0	1447	276	126	-1	
4	1	4	1	1	0	0	1447	276	126	-1	
5	1	4	1	1	1	0	1447	276	126	22.919174	=
2	1	5	0	0	0	348	1561	358	91	-1	
3	1	5	1	0	0	348	1561	358	91	-1	
4	1	5	1	1	0	348	1561	358	91	-1	
5	1	5	1	1	1	348	1561	7	7	17.329475	)
5	1	5	1	1	2	368	1578	49	74	71.525696	it
5	1	5	1	1	3	427	1600	78	33	95.906258	and
5	1	5	1	1	4	518	1600	52	33	75.029633	do
5	1	5	1	1	5	572	1596	15	56	75.029633	I
5	1	5	1	1	6	604	1602	102	31	83.492935	trust
2	1	6	0	0	0	845	1720	33	88	-1	
3	1	6	1	0	0	845	1720	33	88	-1	
4	1	6	1	1	0	845	1720	33	88	-1	
5	1	6	1	1	1	845	1720	33	88	56.670349	i
