level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1080	1920	-1	
2	1	1	0	0	0	0	0	1080	612	-1	
3	1	1	1	0	0	0	0	1080	612	-1	
4	1	1	1	1	0	0	0	1080	612	-1	
5	1	1	1	1	1	0	0	1080	612	39.793262	low
2	1	2	0	0	0	577	772	210	62	-1	
3	1	2	1	0	0	577	772	210	62	-1	
4	1	2	1	1	0	577	772	210	62	-1	
5	1	2	1	1	1	577	772	210	62	5.524551	as
2	1	3	0	0	0	653	1044	411	158	-1	
3	1	3	1	0	0	653	1044	411	158	-1	
4	1	3	1	1	0	653	1044	411	158	-1	
5	1	3	1	1	1	653	1044	411	158	3.073891	A.
2	1	4	0	0	0	474	1583	202	62	-1	
3	1	4	1	0	0	401	1583	275	64	-1	
4	1	4	1	1	0	474	1583	202	62	-1	
5	1	4	1	1	1	401	1585	66	62	40.532059	does
5	1	4	1	1	2	474	1583	202	62	0.000000	fuer
