level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1080	1920	-1	
2	1	1	0	0	0	92	190	443	28	-1	
3	1	1	1	0	0	92	190	443	28	-1	
4	1	1	1	1	0	92	190	443	28	-1	
5	1	1	1	1	1	92	190	66	22	96.935806	ONE
5	1	1	1	1	2	180	190	355	28	96.043213	PATH,
5	1	1	1	1	3	309	186	87	38	95.076866	FOUR
5	1	1	1	1	4	417	190	118	28	96.417709	MOVES
2	1	2	0	0	0	88	248	522	54	-1	
3	1	2	1	0	0	88	248	522	54	-1	
4	1	2	1	1	0	88	248	522	54	-1	
5	1	2	1	1	1	88	248	290	54	96.264694	SHIPPED
5	1	2	1	1	2	389	248	221	54	96.384430	WORK
2	1	3	0	0	0	89	319	686	54	-1	
3	1	3	1	0	0	89	319	686	54	-1	
4	1	3	1	1	0	89	319	686	54	-1	
5	1	3	1	1	1	89	319	339	54	96.455101	BECOMES
5	1	3	1	1	2	439	319	137	53	95.804741	THE
5	1	3	1	1	3	589	319	186	54	96.788116	POST
2	1	4	0	0	0	560	524	40	22	-1	
3	1	4	1	0	0	560	524	40	22	-1	
4	1	4	1	1	0	560	524	40	22	-1	
5	1	4	1	1	1	560	524	40	22	61.957993	o3
2	1	5	0	0	0	567	784	135	22	-1	
3	1	5	1	0	0	567	784	135	22	-1	
4	1	5	1	1	0	567	784	135	22	-1	
5	1	5	1	1	1	567	784	135	22	96.534065	RECORD
2	1	6	0	0	0	155	841	525	24	-1	
3	1	6	1	0	0	155	841	525	24	-1	
4	1	6	1	1	0	155	841	525	24	-1	
5	1	6	1	1	1	155	841	525	24	22.369629	—9—___—_#
2	1	7	0	0	0	285	1578	502	74	-1	
3	1	7	1	0	0	285	1578	502	74	-1	
4	1	7	1	1	0	285	1578	502	74	-1	
5	1	7	1	1	1	285	1578	111	74	0.000000	jinto|
5	1	7	1	1	2	399	1607	22	26	96.355515	a
5	1	7	1	1	3	435	1600	112	33	96.355515	short
5	1	7	1	1	4	557	1598	100	35	96.226456	form
5	1	7	1	1	5	669	1598	118	35	96.042488	video
