level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1080	1920	-1	
2	1	1	0	0	0	638	948	64	16	-1	
3	1	1	1	0	0	638	948	64	16	-1	
4	1	1	1	1	0	638	948	64	16	-1	
5	1	1	1	1	1	638	948	64	16	38.412315	—_
2	1	2	0	0	0	416	1314	28	22	-1	
3	1	2	1	0	0	416	1314	28	22	-1	
4	1	2	1	1	0	416	1314	28	22	-1	
5	1	2	1	1	1	416	1314	28	22	23.379456	¢7
2	1	3	0	0	0	261	1548	558	104	-1	
3	1	3	1	0	0	261	1548	558	104	-1	
4	1	3	1	1	0	261	1548	558	104	-1	
5	1	3	1	1	1	261	1553	71	80	96.711555	out
5	1	3	1	1	2	334	1578	99	74	21.544189	But]
5	1	3	1	1	3	439	1548	154	94	26.391914	an
5	1	3	1	1	4	605	1600	86	33	96.036751	that
5	1	3	1	1	5	701	1598	118	35	96.397591	video
2	1	4	0	0	0	804	1729	24	63	-1	
3	1	4	1	0	0	804	1729	24	63	-1	
4	1	4	1	1	0	804	1729	24	63	-1	
5	1	4	1	1	1	804	1729	24	63	75.782784	j
